url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2006-05-13,5/13/2006,100,Nobody But Me,Blake Shelton,Nobody But MeBlake Shelton,2,89,60,14,100,2006,5,
http://www.billboard.com/charts/hot-100/2001-06-09,6/9/2001,86,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,Nobody Wants To Be LonelyRicky Martin Duet With Christina Aguilera,1,83,13,20,66,2001,6,
http://www.billboard.com/charts/hot-100/2005-04-02,4/2/2005,94,Nobody's Home,Avril Lavigne,Nobody's HomeAvril Lavigne,1,82,41,17,61,2005,4,
http://www.billboard.com/charts/hot-100/2007-08-04,8/4/2007,65,Nobody's Perfect,Hannah Montana,Nobody's PerfectHannah Montana,1,62,27,7,28,2007,8,
http://www.billboard.com/charts/hot-100/2009-10-31,10/31/2009,76,Nobody,Wonder Girls,NobodyWonder Girls,1,,76,1,76,2009,10,
http://www.billboard.com/charts/hot-100/2005-01-08,1/8/2005,87,Nolia Clap,"Juvenile, Wacko & Skip","Nolia ClapJuvenile, Wacko & Skip",1,89,31,20,67,2005,1,
http://www.billboard.com/charts/hot-100/2002-08-31,8/31/2002,99,Not A Day Goes By,Lonestar,Not A Day Goes ByLonestar,1,86,36,17,72,2002,8,
http://www.billboard.com/charts/hot-100/2007-02-24,2/24/2007,78,Not Fade Away,Sheryl Crow,Not Fade AwaySheryl Crow,1,,78,1,78,2007,2,
http://www.billboard.com/charts/hot-100/2009-09-12,9/12/2009,68,Not Meant To Be,Theory Of A Deadman,Not Meant To BeTheory Of A Deadman,1,73,55,21,90,2009,9,
http://www.billboard.com/charts/hot-100/2007-03-24,3/24/2007,42,Not Ready To Make Nice,Dixie Chicks,Not Ready To Make NiceDixie Chicks,3,19,4,24,28,2007,3,
http://www.billboard.com/charts/hot-100/2004-02-14,2/14/2004,100,Not Today,Mary J. Blige Featuring Eve,Not TodayMary J. Blige Featuring Eve,1,81,41,10,67,2004,2,
http://www.billboard.com/charts/hot-100/2009-06-06,6/6/2009,44,Note To God,Charice,Note To GodCharice,1,,44,1,44,2009,6,
http://www.billboard.com/charts/hot-100/2008-01-05,1/5/2008,99,Nothin' Better To Do,LeAnn Rimes,Nothin' Better To DoLeAnn Rimes,1,85,73,13,97,2008,1,
http://www.billboard.com/charts/hot-100/2005-03-19,3/19/2005,98,Nothin 'Bout Love Makes Sense,LeAnn Rimes,Nothin 'Bout Love Makes SenseLeAnn Rimes,1,80,52,19,75,2005,3,
http://www.billboard.com/charts/hot-100/2009-05-09,5/9/2009,90,Nothin' To Die For,Tim McGraw,Nothin' To Die ForTim McGraw,1,75,68,11,97,2009,5,
http://www.billboard.com/charts/hot-100/2005-06-04,6/4/2005,92,Nothin' To Lose,Josh Gracin,Nothin' To LoseJosh Gracin,1,87,39,20,70,2005,6,
http://www.billboard.com/charts/hot-100/2000-06-17,6/17/2000,91,Nothing As It Seems,Pearl Jam,Nothing As It SeemsPearl Jam,1,93,49,6,49,2000,6,
