weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
9/18/2004,75,Nothing On But The Radio,Gary Allan,Nothing On But The RadioGary Allan,1,,75,1
5/25/2002,81,Nothin',N.O.R.E.,Nothin'N.O.R.E.,1,,81,1
7/23/2005,94,Notice Me,NB Ridaz Featuring Angelina,Notice MeNB Ridaz Featuring Angelina,1,,94,1
10/31/2009,99,Notion,Kings Of Leon,NotionKings Of Leon,1,,99,1
9/20/2008,94,Now Or Never,High School Musical 3 Cast,Now Or NeverHigh School Musical 3 Cast,1,,94,1
4/19/2008,37,Nude,Radiohead,NudeRadiohead,1,,37,1
11/27/2004,86,Numb/Encore,Jay-Z/Linkin Park,Numb/EncoreJay-Z/Linkin Park,1,,86,1
3/5/2005,82,Number One Spot,Ludacris,Number One SpotLudacris,1,,82,1
8/5/2006,97,Number One,Pharrell Featuring Kanye West,Number OnePharrell Featuring Kanye West,1,,97,1
9/12/2009,96,Number One,R. Kelly Featuring Keri Hilson,Number OneR. Kelly Featuring Keri Hilson,1,,96,1
11/8/2003,66,Numb,Linkin Park,NumbLinkin Park,1,,66,1
3/14/2009,93,O... Saya,M.I.A. & A R Rahman,O... SayaM.I.A. & A R Rahman,1,,93,1
9/7/2002,68,Objection (Tango),Shakira,Objection (Tango)Shakira,1,,68,1
7/25/2009,11,Obsessed,Mariah Carey,ObsessedMariah Carey,1,,11,1
1/29/2005,63,Obsession (No Es Amor),Frankie J Featuring Baby Bash,Obsession (No Es Amor)Frankie J Featuring Baby Bash,1,,63,1
5/15/2004,74,Ocean Avenue,Yellowcard,Ocean AvenueYellowcard,1,,74,1
8/2/2003,88,Officially Missing You,Tamia,Officially Missing YouTamia,1,,88,1
4/20/2002,77,Oh Boy,Cam'Ron Featuring Juelz Santana,Oh BoyCam'Ron Featuring Juelz Santana,1,,77,1
12/23/2000,97,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,Oh NoMos Def & Pharoahe Monch Featuring Nate Dogg,1,,97,1
8/31/2002,95,Oh Yeah!,"Big Tymers Featuring Tateeze, Boo & Gotti","Oh Yeah!Big Tymers Featuring Tateeze, Boo & Gotti",1,,95,1
1/28/2006,99,Oh Yes (aka 'Postman'),Juelz Santana,Oh Yes (aka 'Postman')Juelz Santana,1,,99,1
3/26/2005,75,Oh,Ciara Featuring Ludacris,OhCiara Featuring Ludacris,1,,75,1
12/25/2004,95,Okay,Nivea Featuring Lil Jon & YoungBloodZ,OkayNivea Featuring Lil Jon & YoungBloodZ,1,,95,1
11/11/2000,94,Oklahoma,Billy Gilman,OklahomaBilly Gilman,1,,94,1
5/23/2009,25,Old Time's Sake,Eminem Featuring Dr. Dre,Old Time's SakeEminem Featuring Dr. Dre,1,,25,1
7/28/2001,98,On A Night Like This,Trick Pony,On A Night Like ThisTrick Pony,1,,98,1
12/26/2009,62,On Fire,Lil Wayne,On FireLil Wayne,1,,62,1
5/15/2004,65,On Fire,Lloyd Banks,On FireLloyd Banks,1,,65,1
1/6/2007,97,On The Hotline,Pretty Ricky,On The HotlinePretty Ricky,1,,97,1
10/11/2008,100,On The Line,Demi Lovato Featuring Jonas Brothers,On The LineDemi Lovato Featuring Jonas Brothers,1,,100,1
6/20/2009,98,On The Ocean,K'Jon,On The OceanK'Jon,1,,98,1
7/31/2004,99,On The Way Down,Ryan Cabrera,On The Way DownRyan Cabrera,1,,99,1
9/16/2006,72,Once In A Lifetime,Keith Urban,Once In A LifetimeKeith Urban,1,,72,1
7/18/2009,82,One And The Same,Selena Gomez & Demi Lovato,One And The SameSelena Gomez & Demi Lovato,1,,82,1
1/31/2004,54,One Call Away,Chingy Featuring J. Weav,One Call AwayChingy Featuring J. Weav,1,,54,1
2/7/2004,93,One Day At A Time,Tupac With Eminem Featuring The Outlawz,One Day At A TimeTupac With Eminem Featuring The Outlawz,1,,93,1
3/28/2009,100,One In Every Crowd,Montgomery Gentry,One In Every CrowdMontgomery Gentry,1,,100,1
6/8/2002,72,One Last Breath,Creed,One Last BreathCreed,1,,72,1
10/24/2009,16,One Less Lonely Girl,Justin Bieber,One Less Lonely GirlJustin Bieber,1,,16,1
4/20/2002,79,One Mic,Nas,One MicNas,1,,79,1
7/14/2001,75,One Minute Man,"Missy ""Misdemeanor"" Elliott","One Minute ManMissy ""Misdemeanor"" Elliott",1,,75,1
12/6/2003,95,One More Chance,Michael Jackson,One More ChanceMichael Jackson,1,,95,1
1/20/2001,79,One More Day,Diamond Rio,One More DayDiamond Rio,1,,79,1
11/15/2008,86,One More Drink,Ludacris Co-Starring T-Pain,One More DrinkLudacris Co-Starring T-Pain,1,,86,1
2/10/2001,89,One More Time,Daft Punk,One More TimeDaft Punk,1,,89,1
11/16/2002,96,One Of Those Days,Whitney Houston,One Of Those DaysWhitney Houston,1,,96,1
7/12/2008,79,One Step At A Time,Jordin Sparks,One Step At A TimeJordin Sparks,1,,79,1
2/10/2001,81,One Step Closer,Linkin Park,One Step CloserLinkin Park,1,,81,1
7/24/2004,67,One Thing,Finger Eleven,One ThingFinger Eleven,1,,67,1
7/25/2009,95,One Time,Justin Bieber,One TimeJustin Bieber,1,,95,1
6/17/2000,86,One Voice,Billy Gilman,One VoiceBilly Gilman,1,,86,1
12/23/2006,96,One Wing In The Fire,Trent Tomlinson,One Wing In The FireTrent Tomlinson,1,,96,1
10/8/2005,84,One Wish,Ray J,One WishRay J,1,,84,1
12/9/2000,86,One Woman Man,Dave Hollister,One Woman ManDave Hollister,1,,86,1
6/6/2009,82,One,Adam Lambert,OneAdam Lambert,1,,82,1
6/17/2006,86,One,Mary J. Blige And U2,OneMary J. Blige And U2,1,,86,1
8/4/2007,99,Online,Brad Paisley,OnlineBrad Paisley,1,,99,1
2/19/2000,63,Only God Knows Why,Kid Rock,Only God Knows WhyKid Rock,1,,63,1
7/21/2001,77,Only In America,Brooks & Dunn,Only In AmericaBrooks & Dunn,1,,77,1
7/14/2001,76,Only Time,Enya,Only TimeEnya,1,,76,1
11/20/2004,63,Only U,Ashanti,Only UAshanti,1,,63,1
4/11/2009,98,Only You Can Love Me This Way,Keith Urban,Only You Can Love Me This WayKeith Urban,1,,98,1
10/29/2005,94,Only,Nine Inch Nails,OnlyNine Inch Nails,1,,94,1
3/3/2001,76,Oochie Wally,QB Finest Featuring Nas & Bravehearts,Oochie WallyQB Finest Featuring Nas & Bravehearts,1,,76,1
9/6/2003,73,Ooh!,Mary J. Blige,Ooh!Mary J. Blige,1,,73,1
1/22/2005,68,O,Omarion,OOmarion,1,,68,1
12/29/2001,63,Ooohhhwee,Master P Featuring Weebie,OoohhhweeMaster P Featuring Weebie,1,,63,1
2/9/2002,54,Oops (Oh My),Tweet,Oops (Oh My)Tweet,1,,54,1
4/22/2000,67,Oops!...I Did It Again,Britney Spears,Oops!...I Did It AgainBritney Spears,1,,67,1
8/26/2000,76,Open My Heart,Yolanda Adams,Open My HeartYolanda Adams,1,,76,1
8/24/2002,69,Ordinary Day,Vanessa Carlton,Ordinary DayVanessa Carlton,1,,69,1
1/8/2005,73,Ordinary People,John Legend,Ordinary PeopleJohn Legend,1,,73,1
8/5/2006,79,Original Fire,Audioslave,Original FireAudioslave,1,,79,1
11/25/2000,74,Original Prankster,The Offspring,Original PranksterThe Offspring,1,,74,1
2/12/2000,80,Otherside,Red Hot Chili Peppers,OthersideRed Hot Chili Peppers,1,,80,1
11/11/2006,88,Our Country,John Mellencamp,Our CountryJohn Mellencamp,1,,88,1
10/13/2007,86,Our Song,Taylor Swift,Our SongTaylor Swift,1,,86,1
1/19/2008,90,Our Time Now,Plain White T's,Our Time NowPlain White T's,1,,90,1
7/19/2008,38,Out Here Grindin,"DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie","Out Here GrindinDJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",1,,38,1
5/2/2009,100,Out Last Night,Kenny Chesney,Out Last NightKenny Chesney,1,,100,1
8/17/2002,68,Out Of My Heart (Into Your Head),BBMak,Out Of My Heart (Into Your Head)BBMak,1,,68,1
8/14/2004,85,Outrageous,Britney Spears,OutrageousBritney Spears,1,,85,1
2/24/2007,77,Outside Looking In,Jordan Pruitt,Outside Looking InJordan Pruitt,1,,77,1
1/27/2001,82,Outside,Aaron Lewis Of Staind With Fred Durst,OutsideAaron Lewis Of Staind With Fred Durst,1,,82,1
7/23/2005,96,Outta Control (Remix),50 Cent Featuring Mobb Deep,Outta Control (Remix)50 Cent Featuring Mobb Deep,1,,96,1
9/17/2005,92,Outta Control,50 Cent,Outta Control50 Cent,1,,92,1
3/17/2007,76,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,Outta My SystemBow Wow Featuring T-Pain & Johnta Austin,1,,76,1
10/16/2004,58,Over And Over,Nelly Featuring Tim McGraw,Over And OverNelly Featuring Tim McGraw,1,,58,1
2/17/2007,48,Over It,Katharine McPhee,Over ItKatharine McPhee,1,,48,1
2/25/2006,98,Over My Head (Cable Car),The Fray,Over My Head (Cable Car)The Fray,1,,98,1
8/25/2007,94,Over You,Daughtry,Over YouDaughtry,1,,94,1
9/12/2009,73,Overcome,Creed,OvercomeCreed,1,,73,1
3/27/2004,60,Overnight Celebrity,Twista,Overnight CelebrityTwista,1,,60,1
4/27/2002,93,Overprotected,Britney Spears,OverprotectedBritney Spears,1,,93,1
8/28/2004,91,Oye Mi Canto,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato","Oye Mi CantoN.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",1,,91,1
5/10/2003,77,P***ycat,"Missy ""Misdemeanor"" Elliott","P***ycatMissy ""Misdemeanor"" Elliott",1,,77,1
5/31/2003,70,P.I.M.P.,50 Cent,P.I.M.P.50 Cent,1,,70,1
2/12/2005,93,Pain,Jimmy Eat World,PainJimmy Eat World,1,,93,1
4/3/2004,67,Paint Me A Birmingham,Tracy Lawrence,Paint Me A BirminghamTracy Lawrence,1,,67,1
12/16/2006,98,Pain,Three Days Grace,PainThree Days Grace,1,,98,1
5/2/2009,92,Panic Switch,Silversun Pickups,Panic SwitchSilversun Pickups,1,,92,1
7/13/2002,74,Papa Don't Preach,Kelly Osbourne,Papa Don't PreachKelly Osbourne,1,,74,1
9/12/2009,74,Paparazzi,Lady Gaga,PaparazziLady Gaga,1,,74,1
8/2/2008,55,Paper Planes,M.I.A.,Paper PlanesM.I.A.,1,,55,1
10/31/2009,92,Papers,Usher,PapersUsher,1,,92,1
12/14/2002,85,Paradise,LL Cool J Featuring Amerie,ParadiseLL Cool J Featuring Amerie,1,,85,1
6/23/2007,97,Paralyzer,Finger Eleven,ParalyzerFinger Eleven,1,,97,1
5/30/2009,37,Paranoid,Jonas Brothers,ParanoidJonas Brothers,1,,37,1
12/22/2001,85,Part II,Method Man & Redman,Part IIMethod Man & Redman,1,,85,1
11/6/2004,73,Party For Two,Shania Twain With Billy Currington Or Mark McGrath,Party For TwoShania Twain With Billy Currington Or Mark McGrath,1,,73,1
8/29/2009,2,Party In The U.S.A.,Miley Cyrus,Party In The U.S.A.Miley Cyrus,1,,2,1
5/5/2007,80,Party Like A Rockstar,Shop Boyz,Party Like A RockstarShop Boyz,1,,80,1
4/12/2008,54,Party People,Nelly Featuring Fergie,Party PeopleNelly Featuring Fergie,1,,54,1
10/18/2003,90,Party To Damascus,Wyclef Jean Featuring Missy Elliott,Party To DamascusWyclef Jean Featuring Missy Elliott,1,,90,1
2/26/2000,88,Party Up (Up In Here),DMX,Party Up (Up In Here)DMX,1,,88,1
10/18/2003,48,Pass That Dutch,Missy Elliott,Pass That DutchMissy Elliott,1,,48,1
3/2/2002,85,Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,Pass The Courvoisier Part IIBusta Rhymes Featuring P. Diddy & Pharrell,1,,85,1
5/15/2004,77,Passenger Seat,SHeDAISY,Passenger SeatSHeDAISY,1,,77,1
3/29/2003,93,Peacekeeper,Fleetwood Mac,PeacekeeperFleetwood Mac,1,,93,1
4/14/2001,75,Peaches & Cream,112,Peaches & Cream112,1,,75,1
1/24/2009,75,Pen & Paper (Something Typical),The Red Jumpsuit Apparatus,Pen & Paper (Something Typical)The Red Jumpsuit Apparatus,1,,75,1
5/16/2009,90,People Are Crazy,Billy Currington,People Are CrazyBilly Currington,1,,90,1
12/25/2004,96,Perdidos,Monchy & Alexandra,PerdidosMonchy & Alexandra,1,,96,1
12/24/2005,92,Perfect Situation,Weezer,Perfect SituationWeezer,1,,92,1
1/24/2004,71,Perfect,Sara Evans,PerfectSara Evans,1,,71,1
11/1/2003,72,Perfect,Simple Plan,PerfectSimple Plan,1,,72,1
6/6/2009,24,Permanent,David Cook,PermanentDavid Cook,1,,24,1
2/10/2007,86,Phantom Limb,The Shins,Phantom LimbThe Shins,1,,86,1
9/10/2005,75,Photograph,Nickelback,PhotographNickelback,1,,75,1
6/4/2005,100,Pickin' Wildflowers,Keith Anderson,Pickin' WildflowersKeith Anderson,1,,100,1
3/1/2008,91,Picture To Burn,Taylor Swift,Picture To BurnTaylor Swift,1,,91,1
11/30/2002,91,Picture,Kid Rock Featuring Sheryl Crow,PictureKid Rock Featuring Sheryl Crow,1,,91,1
10/27/2007,95,Pictures Of You,The Last Goodnight,Pictures Of YouThe Last Goodnight,1,,95,1
11/17/2007,65,Piece Of Me,Britney Spears,Piece Of MeBritney Spears,1,,65,1
7/3/2004,61,Pieces Of Me,Ashlee Simpson,Pieces Of MeAshlee Simpson,1,,61,1
3/26/2005,88,Piggy Bank,50 Cent,Piggy Bank50 Cent,1,,88,1
4/12/2003,68,Pimp Juice,Nelly,Pimp JuiceNelly,1,,68,1
6/11/2005,81,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,Pimpin' All Over The WorldLudacris Featuring Bobby Valentino,1,,81,1
9/9/2000,77,Pinch Me,Barenaked Ladies,Pinch MeBarenaked Ladies,1,,77,1
7/5/2008,20,Play My Music,Jonas Brothers,Play My MusicJonas Brothers,1,,20,1
7/2/2005,92,Play Something Country,Brooks & Dunn,Play Something CountryBrooks & Dunn,1,,92,1
11/29/2008,99,Playa Cardz Right,Keyshia Cole Featuring 2Pac,Playa Cardz RightKeyshia Cole Featuring 2Pac,1,,99,1
6/2/2001,91,Playas Gon' Play,3LW,Playas Gon' Play3LW,1,,91,1
7/9/2005,90,Playa's Only,R. Kelly Featuring The Game,Playa's OnlyR. Kelly Featuring The Game,1,,90,1
7/23/2005,90,Play,David Banner,PlayDavid Banner,1,,90,1
4/7/2001,76,Play,Jennifer Lopez,PlayJennifer Lopez,1,,76,1
3/24/2007,95,Please Don't Go,Tank,Please Don't GoTank,1,,95,1
5/2/2009,97,Please Don't Leave Me,P!nk,Please Don't Leave MeP!nk,1,,97,1
8/9/2008,95,Please Excuse My Hands,Plies Featuring Jamie Foxx & The-Dream,Please Excuse My HandsPlies Featuring Jamie Foxx & The-Dream,1,,95,1
7/20/2002,99,Po' Folks,Nappy Roots Featuring Anthony Hamilton,Po' FolksNappy Roots Featuring Anthony Hamilton,1,,99,1
2/9/2008,65,Pocketful Of Sunshine,Natasha Bedingfield,Pocketful Of SunshineNatasha Bedingfield,1,,65,1
1/3/2009,92,Poker Face,Lady Gaga,Poker FaceLady Gaga,1,,92,1
6/11/2005,97,Pon de Replay,Rihanna,Pon de ReplayRihanna,1,,97,1
7/19/2003,98,"Pon De River, Pon De Bank",Elephant Man,"Pon De River, Pon De BankElephant Man",1,,98,1
11/17/2007,97,Pop Bottles,Birdman Featuring Lil Wayne,Pop BottlesBirdman Featuring Lil Wayne,1,,97,1
11/1/2008,96,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,Pop ChampagneJim Jones & Ron Browz Featuring Juelz Santana,1,,96,1
12/13/2003,97,Pop That Booty,"Marques Houston Featuring Jermaine ""JD"" Dupri","Pop That BootyMarques Houston Featuring Jermaine ""JD"" Dupri",1,,97,1
11/4/2000,68,Pop Ya Collar,Usher,Pop Ya CollarUsher,1,,68,1
3/10/2007,98,"Pop, Lock & Drop It",Huey,"Pop, Lock & Drop ItHuey",1,,98,1
6/2/2001,29,Pop,'N Sync,Pop'N Sync,1,,29,1
3/4/2006,91,Poppin' My Collar,Three 6 Mafia,Poppin' My CollarThree 6 Mafia,1,,91,1
12/16/2006,82,Poppin',Chris Brown Featuring Jay Biz,Poppin'Chris Brown Featuring Jay Biz,1,,82,1
5/10/2008,84,Pork And Beans,Weezer,Pork And BeansWeezer,1,,84,1
7/14/2007,77,Potential Breakup Song,Aly & AJ,Potential Breakup SongAly & AJ,1,,77,1
2/3/2001,95,Pour Me,Trick Pony,Pour MeTrick Pony,1,,95,1
9/28/2002,74,Prayer,Disturbed,PrayerDisturbed,1,,74,1
5/6/2000,87,Prayin' For Daylight,Rascal Flatts,Prayin' For DaylightRascal Flatts,1,,87,1
4/26/2008,27,Praying For Time,Carrie Underwood,Praying For TimeCarrie Underwood,1,,27,1
10/29/2005,99,Precious,Depeche Mode,PreciousDepeche Mode,1,,99,1
10/15/2005,99,Presidential,YoungBloodZ,PresidentialYoungBloodZ,1,,99,1
10/22/2005,37,Pretty Vegas,INXS,Pretty VegasINXS,1,,37,1
5/16/2009,89,Pretty Wings,Maxwell,Pretty WingsMaxwell,1,,89,1
4/26/2003,70,Price To Play,Staind,Price To PlayStaind,1,,70,1
3/11/2000,76,Private Emotion,Ricky Martin Featuring Meja,Private EmotionRicky Martin Featuring Meja,1,,76,1
9/3/2005,96,Probably Wouldn't Be This Way,LeAnn Rimes,Probably Wouldn't Be This WayLeAnn Rimes,1,,96,1
12/16/2000,74,Project Chick,Cash Money Millionaires,Project ChickCash Money Millionaires,1,,74,1
2/14/2009,17,Prom Queen,Lil Wayne Featuring Shanell AKA SNL,Prom QueenLil Wayne Featuring Shanell AKA SNL,1,,17,1
5/20/2006,64,Promiscuous,Nelly Furtado Featuring Timbaland,PromiscuousNelly Furtado Featuring Timbaland,1,,64,1
11/25/2006,45,Promise,Ciara,PromiseCiara,1,,45,1
12/23/2000,73,Promise,Jagged Edge,PromiseJagged Edge,1,,73,1
8/11/2007,89,Proud Of The House We Built,Brooks & Dunn,Proud Of The House We BuiltBrooks & Dunn,1,,89,1
2/16/2008,100,Psycho,Puddle Of Mudd,PsychoPuddle Of Mudd,1,,100,1
9/9/2000,97,Pull Over,Trina,Pull OverTrina,1,,97,1
3/20/2004,98,Pull Up,Mr. Vegas,Pull UpMr. Vegas,1,,98,1
7/1/2006,86,Pullin' Me Back,Chingy Featuring Tyrese,Pullin' Me BackChingy Featuring Tyrese,1,,86,1
4/19/2003,75,Pump It Up,Joe Budden,Pump It UpJoe Budden,1,,75,1
6/25/2005,96,Pump It,The Black Eyed Peas,Pump ItThe Black Eyed Peas,1,,96,1
11/11/2006,81,Pumpin' Up The Party,Hannah Montana,Pumpin' Up The PartyHannah Montana,1,,81,1
4/14/2001,82,Puppy Love,Lil Bow Wow Featuring Jagged Edge,Puppy LoveLil Bow Wow Featuring Jagged Edge,1,,82,1
4/8/2000,80,Purest Of Pain (A Puro Dolor),Son By Four,Purest Of Pain (A Puro Dolor)Son By Four,1,,80,1
6/23/2001,97,Purple Hills,D12,Purple HillsD12,1,,97,1
10/3/2009,59,Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat,Pursuit Of Happiness (Nightmare)Kid Cudi Featuring MGMT & Ratatat,1,,59,1
2/3/2007,14,Push It To The Limit,Corbin Bleu,Push It To The LimitCorbin Bleu,1,,14,1
9/16/2006,97,Push It,Rick Ross,Push ItRick Ross,1,,97,1
8/2/2008,16,Pushin' Me Away,Jonas Brothers,Pushin' Me AwayJonas Brothers,1,,16,1
6/14/2008,97,Put A Girl In It,Brooks & Dunn,Put A Girl In ItBrooks & Dunn,1,,97,1
12/23/2000,95,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,Put It On MeJa Rule Featuring Lil' Mo & Vita,1,,95,1
12/6/2008,92,Put It On Ya,Plies Featuring Chris J,Put It On YaPlies Featuring Chris J,1,,92,1
9/14/2002,98,Put Me Down,Donell Jones,Put Me DownDonell Jones,1,,98,1
6/21/2008,36,Put On,Young Jeezy Featuring Kanye West,Put OnYoung Jeezy Featuring Kanye West,1,,36,1
3/22/2003,75,Put That Woman First,Jaheim,Put That Woman FirstJaheim,1,,75,1
1/29/2000,81,Put Your Hand In Mine,Tracy Byrd,Put Your Hand In MineTracy Byrd,1,,81,1
7/15/2006,94,Put Your Records On,Corinne Bailey Rae,Put Your Records OnCorinne Bailey Rae,1,,94,1
4/28/2007,86,Que Hiciste,Jennifer Lopez,Que HicisteJennifer Lopez,1,,86,1
5/25/2002,74,Quitame Ese Hombre,Pilar Montenegro,Quitame Ese HombrePilar Montenegro,1,,74,1
8/29/2009,90,Radar,Britney Spears,RadarBritney Spears,1,,90,1
8/30/2003,78,Rain On Me,Ashanti,Rain On MeAshanti,1,,78,1
10/24/2009,91,Rain,Creed,RainCreed,1,,91,1
3/15/2003,69,Raining On Sunday,Keith Urban,Raining On SundayKeith Urban,1,,69,1
3/30/2002,62,Rainy Dayz,Mary J. Blige Featuring Ja Rule,Rainy DayzMary J. Blige Featuring Ja Rule,1,,62,1
8/11/2001,98,Raise Up,Petey Pablo,Raise UpPetey Pablo,1,,98,1
12/10/2005,97,Rakata,Wisin & Yandel,RakataWisin & Yandel,1,,97,1
2/16/2002,96,Rapture (Tastes So Sweet),iio,Rapture (Tastes So Sweet)iio,1,,96,1
10/19/2002,79,React,Erick Sermon Featuring Redman,ReactErick Sermon Featuring Redman,1,,79,1
3/3/2007,91,Read My Mind,The Killers,Read My MindThe Killers,1,,91,1
10/4/2003,71,Read Your Mind,Avant,Read Your MindAvant,1,,71,1
10/11/2008,57,Ready For Whatever,T.I.,Ready For WhateverT.I.,1,,57,1
8/4/2007,85,"Ready, Set, Don't Go",Billy Ray Cyrus With Miley Cyrus,"Ready, Set, Don't GoBilly Ray Cyrus With Miley Cyrus",1,,85,1
10/16/2004,98,Real Big,Mannie Fresh,Real BigMannie Fresh,1,,98,1
7/12/2003,78,Real Good Man,Tim McGraw,Real Good ManTim McGraw,1,,78,1
4/1/2000,85,Real Live Woman,Trisha Yearwood,Real Live WomanTrisha Yearwood,1,,85,1
8/30/2008,92,Real,Goo Goo Dolls,RealGoo Goo Dolls,1,,92,1
2/23/2008,86,Realize,Colbie Caillat,RealizeColbie Caillat,1,,86,1
5/31/2003,67,Red Dirt Road,Brooks & Dunn,Red Dirt RoadBrooks & Dunn,1,,67,1
11/18/2006,99,Red High Heels,Kellie Pickler,Red High HeelsKellie Pickler,1,,99,1
10/10/2009,95,Red Light,David Nail,Red LightDavid Nail,1,,95,1
10/12/2002,70,Red Rag Top,Tim McGraw,Red Rag TopTim McGraw,1,,70,1
4/10/2004,76,Redneck Woman,Gretchen Wilson,Redneck WomanGretchen Wilson,1,,76,1
8/6/2005,100,Redneck Yacht Club,Craig Morgan,Redneck Yacht ClubCraig Morgan,1,,100,1
10/17/2009,100,Regret,LeToya Featuring Ludacris,RegretLeToya Featuring Ludacris,1,,100,1
3/31/2007,91,Rehab,Amy Winehouse,RehabAmy Winehouse,1,,91,1
6/6/2009,98,Rehab,Glee Cast,RehabGlee Cast,1,,98,1
11/22/2008,91,Rehab,Rihanna,RehabRihanna,1,,91,1
4/21/2007,91,Release,Timbaland Featuring Justin Timberlake,ReleaseTimbaland Featuring Justin Timberlake,1,,91,1
7/30/2005,100,Remedy,Seether,RemedySeether,1,,100,1
8/15/2009,29,Remember Me,T.I. Featuring Mary J. Blige,Remember MeT.I. Featuring Mary J. Blige,1,,29,1
9/30/2006,66,Remember The Name,Fort Minor Featuring Styles Of Beyond,Remember The NameFort Minor Featuring Styles Of Beyond,1,,66,1
12/13/2003,61,Remember When,Alan Jackson,Remember WhenAlan Jackson,1,,61,1
9/5/2009,96,Replay,Iyaz,ReplayIyaz,1,,96,1
3/31/2001,77,Request Line,The Black Eyed Peas Featuring Macy Gray,Request LineThe Black Eyed Peas Featuring Macy Gray,1,,77,1
9/27/2003,93,Rest In Pieces,Saliva,Rest In PiecesSaliva,1,,93,1
12/25/2004,74,Rich Girl,Gwen Stefani Featuring Eve,Rich GirlGwen Stefani Featuring Eve,1,,74,1
6/17/2000,92,Riddle,En Vogue,RiddleEn Vogue,1,,92,1
9/9/2006,78,Ride For You,Danity Kane,Ride For YouDanity Kane,1,,78,1
2/24/2001,57,Ride Wit Me,Nelly Featuring City Spud,Ride Wit MeNelly Featuring City Spud,1,,57,1
3/13/2004,86,Ride Wit U,Joe Featuring G-Unit,Ride Wit UJoe Featuring G-Unit,1,,86,1
12/6/2008,90,Ride,Ace Hood Featuring Trey Songz,RideAce Hood Featuring Trey Songz,1,,90,1
3/14/2009,98,Ride,Martina McBride,RideMartina McBride,1,,98,1
6/10/2006,92,Ridin' Rims,Dem Franchize Boyz,Ridin' RimsDem Franchize Boyz,1,,92,1
3/4/2006,88,Ridin',Chamillionaire Featuring Krayzie Bone,Ridin'Chamillionaire Featuring Krayzie Bone,1,,88,1
10/27/2001,71,Riding With Private Malone,David Ball,Riding With Private MaloneDavid Ball,1,,71,1
9/27/2008,83,Right Here (Departed),Brandy,Right Here (Departed)Brandy,1,,83,1
6/25/2005,85,Right Here,Staind,Right HereStaind,1,,85,1
10/11/2008,17,Right Now (Na Na Na),Akon,Right Now (Na Na Na)Akon,1,,17,1
2/14/2009,74,Right Round,Flo Rida,Right RoundFlo Rida,1,,74,1
5/17/2003,97,Right Thurr,Chingy,Right ThurrChingy,1,,97,1
4/7/2001,83,Right Where I Need To Be,Gary Allan,Right Where I Need To BeGary Allan,1,,83,1
9/23/2006,67,Right Where You Want Me,Jesse McCartney,Right Where You Want MeJesse McCartney,1,,67,1
9/23/2006,12,Ring The Alarm,Beyonce,Ring The AlarmBeyonce,1,,12,1
5/3/2008,97,Rise Above This,Seether,Rise Above ThisSeether,1,,97,1
12/20/2008,94,River Of Love,George Strait,River Of LoveGeorge Strait,1,,94,1
12/23/2006,78,River,Sarah McLachlan,RiverSarah McLachlan,1,,78,1
11/17/2007,90,Roc Boys (And The Winner Is)...,JAY-Z,Roc Boys (And The Winner Is)...JAY-Z,1,,90,1
2/23/2002,73,Roc The Mic,Beanie Sigel & Freeway,Roc The MicBeanie Sigel & Freeway,1,,73,1
10/18/2003,94,"Roc Ya Body ""Mic Check 1,2""",M.V.P. (Most Valuable Playas) Featuring Stagga Lee,"Roc Ya Body ""Mic Check 1,2""M.V.P. (Most Valuable Playas) Featuring Stagga Lee",1,,94,1
2/16/2008,81,Rock Star,Hannah Montana,Rock StarHannah Montana,1,,81,1
9/8/2001,57,Rock The Boat,Aaliyah,Rock The BoatAaliyah,1,,57,1
10/12/2002,99,Rock The Party,Benzino,Rock The PartyBenzino,1,,99,1
5/10/2003,56,Rock Wit U (Awww Baby),Ashanti,Rock Wit U (Awww Baby)Ashanti,1,,56,1
2/24/2007,100,Rock Yo Hips,Crime Mob Featuring Lil Scrappy,Rock Yo HipsCrime Mob Featuring Lil Scrappy,1,,100,1
