weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
8/20/2005,80,Axel F,Crazy Frog,Axel FCrazy Frog,1,,80,1
12/9/2006,97,Ay Chico (Lengua Afuera),Pitbull,Ay Chico (Lengua Afuera)Pitbull,1,,97,1
8/25/2007,22,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology50 Cent Featuring Justin Timberlake & Timbaland,1,,22,1
1/11/2003,98,B R Right,Trina Featuring Ludacris,B R RightTrina Featuring Ludacris,1,,98,1
4/16/2005,74,B.Y.O.B.,System Of A Down,B.Y.O.B.System Of A Down,1,,74,1
8/16/2003,57,Baby Boy,Beyonce Featuring Sean Paul,Baby BoyBeyonce Featuring Sean Paul,1,,57,1
11/14/2009,31,Baby By Me,50 Cent Featuring Ne-Yo,Baby By Me50 Cent Featuring Ne-Yo,1,,31,1
2/26/2000,87,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,Baby Don't Cry (Keep Ya Head Up II)2Pac + Outlawz,1,,87,1
9/15/2007,81,Baby Don't Go,Fabolous Featuring Jermaine Dupri,Baby Don't GoFabolous Featuring Jermaine Dupri,1,,81,1
12/11/2004,99,Baby Girl,Sugarland,Baby GirlSugarland,1,,99,1
4/3/2004,72,Baby I Love U,Jennifer Lopez,Baby I Love UJennifer Lopez,1,,72,1
2/26/2005,97,Baby I'm Back,Baby Bash Featuring Akon,Baby I'm BackBaby Bash Featuring Akon,1,,97,1
10/9/2004,70,Baby It's You,JoJo Featuring Bow Wow,Baby It's YouJoJo Featuring Bow Wow,1,,70,1
2/12/2005,99,Baby Mama,Fantasia,Baby MamaFantasia,1,,99,1
8/19/2000,96,Baby U Are,Gerald Levert,Baby U AreGerald Levert,1,,96,1
5/12/2001,68,"Baby, Come Over (This Is Our Night)",Samantha Mumba,"Baby, Come Over (This Is Our Night)Samantha Mumba",1,,68,1
7/27/2002,74,Baby,Ashanti,BabyAshanti,1,,74,1
1/22/2005,83,Baby,Fabolous Featuring Mike Shorey,BabyFabolous Featuring Mike Shorey,1,,83,1
8/9/2008,97,Baby,LL Cool J Featuring The-Dream,BabyLL Cool J Featuring The-Dream,1,,97,1
12/2/2000,73,Babylon,David Gray,BabylonDavid Gray,1,,73,1
1/15/2000,89,Back At One,Mark Wills,Back At OneMark Wills,1,,89,1
4/29/2000,99,Back Here,BBMak,Back HereBBMak,1,,99,1
4/15/2006,76,Back Like That,Ghostface Killah Featuring Ne-Yo,Back Like ThatGhostface Killah Featuring Ne-Yo,1,,76,1
6/4/2005,91,Back Then,Mike Jones,Back ThenMike Jones,1,,91,1
4/19/2008,98,Back When I Knew It All,Montgomery Gentry,Back When I Knew It AllMontgomery Gentry,1,,98,1
10/23/2004,74,Back When,Tim McGraw,Back WhenTim McGraw,1,,74,1
7/28/2001,70,Bad Boy For Life,"P. Diddy, Black Rob & Mark Curry","Bad Boy For LifeP. Diddy, Black Rob & Mark Curry",1,,70,1
10/25/2003,60,Bad Boy This Bad Boy That,Bad Boy's Da Band,Bad Boy This Bad Boy ThatBad Boy's Da Band,1,,60,1
9/9/2000,94,Bad Boyz,Shyne Featuring Barrington Levy,Bad BoyzShyne Featuring Barrington Levy,1,,94,1
1/12/2008,67,Bad Day,Alvin And The Chipmunks,Bad DayAlvin And The Chipmunks,1,,67,1
2/25/2006,55,Bad Day,Daniel Powter,Bad DayDaniel Powter,1,,55,1
